Country,Year,Export_tonnes
Brazil,2001,1390320.0
Burundi,2001,18180.0
Cameroon,2001,67500.0
Central African Republic,2001,5640.0
Colombia,2001,596640.0
Costa Rica,2001,121080.0
Côte d'Ivoire,2001,245700.0
Cuba,2001,6540.0
Democratic Republic of Congo,2001,7980.0
Dominican Republic,2001,5820.0
Ecuador,2001,45360.0
El Salvador,2001,91980.0
Ethiopia,2001,82560.0
Gabon,2001,120.0
Ghana,2001,3420.0
Guatemala,2001,246600.0
Guinea,2001,21360.0
Guyana,2001,60.0
Haiti,2001,5220.0
Honduras,2001,143520.0
India,2001,223800.0
Indonesia,2001,314580.0
Jamaica,2001,1680.0
Kenya,2001,65760.0
Lao People's Democratic Republic,2001,11880.0
Liberia,2001,420.0
Madagascar,2001,5220.0
Malawi,2001,3840.0
Mexico,2001,199980.0
Nicaragua,2001,81900.0
Nigeria,2001,420.0
Panama,2001,3420.0
Papua New Guinea,2001,65700.0
Paraguay,2001,60.0
Peru,2001,159780.0
Philippines,2001,180.0
Rwanda,2001,16740.0
Sierra Leone,2001,2160.0
Sri Lanka,2001,240.0
Tanzania,2001,51960.0
Thailand,2001,68880.0
Timor-Leste,2001,1920.0
Togo,2001,11580.0
Trinidad & Tobago,2001,180.0
Uganda,2001,183600.0
Venezuela,2001,1560.0
Viet Nam,2001,846360.0
Yemen,2001,3960.0
Zambia,2001,6900.0
Zimbabwe,2001,6300.0
Angola,2002,540.0
Bolivia (Plurinational State of),2002,4740.0
Brazil,2002,1678920.0
Burundi,2002,17340.0
Cameroon,2002,38400.0
Central African Republic,2002,5700.0
Colombia,2002,616380.0
Costa Rica,2002,107040.0
Côte d'Ivoire,2002,195180.0
Cuba,2002,3420.0
Democratic Republic of Congo,2002,10740.0
Dominican Republic,2002,7020.0
Ecuador,2002,33900.0
El Salvador,2002,91980.0
Ethiopia,2002,123300.0
Ghana,2002,1500.0
Guatemala,2002,209460.0
Guinea,2002,8160.0
Guyana,2002,60.0
Haiti,2002,2460.0
Honduras,2002,162660.0
India,2002,213000.0
Indonesia,2002,257160.0
Jamaica,2002,1560.0
Kenya,2002,44160.0
Lao People's Democratic Republic,2002,16680.0
Liberia,2002,360.0
Madagascar,2002,8700.0
Malawi,2002,2640.0
Mexico,2002,158700.0
Nicaragua,2002,57300.0
Nigeria,2002,300.0
Panama,2002,4980.0
Papua New Guinea,2002,63420.0
Paraguay,2002,1260.0
Peru,2002,167340.0
Philippines,2002,420.0
Rwanda,2002,19800.0
Sierra Leone,2002,4800.0
Sri Lanka,2002,180.0
Tanzania,2002,29760.0
Thailand,2002,15180.0
Timor-Leste,2002,1800.0
Togo,2002,6000.0
Trinidad & Tobago,2002,120.0
Uganda,2002,201480.0
Venezuela,2002,11520.0
Viet Nam,2002,706260.0
Yemen,2002,3660.0
Zambia,2002,5940.0
Zimbabwe,2002,7140.0
Angola,2003,1020.0
Bolivia (Plurinational State of),2003,4380.0
Brazil,2003,1542660.0
Burundi,2003,28560.0
