Country,Coffee_type,Year,Production_tonnes
Bolivia (Plurinational State of),Arabica,1998,8280.0
Brazil,Mixed,1998,2205660.0
Burundi,Mixed,1998,29520.0
Ecuador,Mixed,1998,72360.0
Indonesia,Mixed,1998,437760.0
Madagascar,Robusta,1998,59520.0
Malawi,Arabica,1998,3840.0
Papua New Guinea,Mixed,1998,81120.0
Paraguay,Arabica,1998,1920.0
Peru,Arabica,1998,126120.0
Rwanda,Arabica,1998,13380.0
Zimbabwe,Arabica,1998,8940.0
Congo,Robusta,1998,180.0
Cuba,Arabica,1998,16800.0
Dominican Republic,Mixed,1998,29220.0
Haiti,Arabica,1998,26340.0
Philippines,Mixed,1998,40620.0
Tanzania,Mixed,1998,44340.0
Zambia,Arabica,1998,3720.0
Cameroon,Mixed,1998,66840.0
Central African Republic,Robusta,1998,12900.0
Colombia,Arabica,1998,652080.0
Costa Rica,Arabica,1998,146700.0
Côte d'Ivoire,Robusta,1998,119520.0
Democratic Republic of Congo,Mixed,1998,44280.0
El Salvador,Arabica,1998,123300.0
Equatorial Guinea,Robusta,1998,60.0
Ethiopia,Arabica,1998,175680.0
Gabon,Robusta,1998,240.0
Ghana,Robusta,1998,3240.0
Guatemala,Mixed,1998,293580.0
Guinea,Robusta,1998,25260.0
Guyana,Robusta,1998,360.0
Honduras,Arabica,1998,131700.0
India,Mixed,1998,265020.0
Jamaica,Arabica,1998,1740.0
Kenya,Arabica,1998,70380.0
Lao People's Democratic Republic,Robusta,1998,10260.0
Liberia,Robusta,1998,1080.0
Mexico,Mixed,1998,288060.0
Nicaragua,Arabica,1998,64380.0
Nigeria,Robusta,1998,3180.0
Panama,Arabica,1998,11520.0
Sierra Leone,Robusta,1998,1620.0
Sri Lanka,Mixed,1998,2760.0
Thailand,Mixed,1998,54960.0
Togo,Robusta,1998,19260.0
Trinidad & Tobago,Robusta,1998,1020.0
Uganda,Mixed,1998,203160.0
Venezuela,Arabica,1998,95820.0
Viet Nam,Mixed,1998,423120.0
Yemen,Arabica,1998,4140.0
Angola,Mixed,1999,3300.0
