Country,Year,Import_tonnes
Austria,2013,93300.0
Belgium,2013,330120.0
Bulgaria,2013,36540.0
Croatia,2013,24780.0
Cyprus,2013,5640.0
Czechia,2013,71040.0
Denmark,2013,55260.0
Estonia,2013,9360.0
Finland,2013,76500.0
France,2013,402780.0
Germany,2013,1270440.0
Greece,2013,76140.0
Hungary,2013,33420.0
Ireland,2013,13980.0
Italy,2013,529380.0
Latvia,2013,9660.0
Lithuania,2013,21720.0
Luxembourg,2013,22680.0
Malta,2013,1320.0
Netherlands,2013,204420.0
Poland,2013,197040.0
Portugal,2013,63780.0
Romania,2013,58260.0
Slovakia,2013,47880.0
Slovenia,2013,15480.0
Spain,2013,308220.0
Sweden,2013,102540.0
Japan,2013,502860.0
Norway,2013,46860.0
Russian Federation,2013,264600.0
Switzerland,2013,160020.0
Tunisia,2013,26340.0
United Kingdom,2013,252360.0
United States of America,2013,1620960.0
Austria,2014,91500.0
Belgium,2014,312720.0
Bulgaria,2014,37260.0
Croatia,2014,25200.0
Cyprus,2014,5640.0
Czechia,2014,109380.0
Denmark,2014,51180.0
Estonia,2014,7860.0
Finland,2014,72780.0
France,2014,426720.0
Germany,2014,1324680.0
Greece,2014,74040.0
Hungary,2014,49980.0
Ireland,2014,17520.0
Italy,2014,561000.0
Latvia,2014,12780.0
Lithuania,2014,23760.0
Luxembourg,2014,24780.0
Malta,2014,1500.0
Netherlands,2014,240960.0
Poland,2014,193740.0
Portugal,2014,63600.0
Romania,2014,57480.0
Slovakia,2014,55140.0
Slovenia,2014,16140.0
Spain,2014,324360.0
Sweden,2014,131880.0
Japan,2014,459420.0
Norway,2014,44580.0
Russian Federation,2014,284820.0
Switzerland,2014,158580.0
Tunisia,2014,27600.0
United Kingdom,2014,259140.0
United States of America,2014,1653900.0
Austria,2015,90780.0
Belgium,2015,332040.0
Bulgaria,2015,40920.0
Croatia,2015,26220.0
Cyprus,2015,5340.0
Czechia,2015,124080.0
Denmark,2015,50460.0
Estonia,2015,7560.0
Finland,2015,79260.0
France,2015,408540.0
Germany,2015,1278960.0
Greece,2015,72600.0
Hungary,2015,42840.0
Ireland,2015,21420.0
Italy,2015,559680.0
Latvia,2015,12120.0
Lithuania,2015,25680.0
Luxembourg,2015,22560.0
Malta,2015,960.0
Netherlands,2015,250560.0
Poland,2015,219960.0
Portugal,2015,62640.0
Romania,2015,60720.0
Slovakia,2015,54600.0
Slovenia,2015,16320.0
Spain,2015,325740.0
Sweden,2015,127260.0
Japan,2015,483780.0
Norway,2015,48000.0
Russian Federation,2015,282600.0
Switzerland,2015,164880.0
Tunisia,2015,27540.0
United Kingdom,2015,293700.0
United States of America,2015,1662480.0
Austria,2016,89700.0
Belgium,2016,363120.0
Bulgaria,2016,46740.0
Croatia,2016,28740.0
Cyprus,2016,5580.0
Czechia,2016,106740.0
Denmark,2016,54360.0
Estonia,2016,8100.0
Finland,2016,83340.0
France,2016,404280.0
Germany,2016,1342080.0
Greece,2016,95040.0
Hungary,2016,43500.0
Ireland,2016,24180.0
